QIIME_ID	Domain	Supergroup	Division	Subdivision	Class	Order	Family	Genus	Species	Sub_Species	Confidence	trophic_mode
9e309c1a004364420f4258080a89b014	Eukaryota	Obazoa	Opisthokonta	Fungi	Chytridiomycota	Zygophlyctidales	Zygophlyctidaceae	Zygophlyctis	NA	NA	0.9998085	Mixotroph
d1f84400fb4c645575f10d1b6d5cfbe0	Eukaryota	Obazoa	Opisthokonta	Fungi	Chytridiomycota	Zygophlyctidales	Zygophlyctidaceae	Zygophlyctis	NA	NA	0.9559235	Mixotroph
ae92e0afeda1ee402e07c676e862ea63	Eukaryota	Obazoa	Opisthokonta	Fungi	Aphelidiomycota	Aphelidiales	Aphelidiaceae	Aphelidium	Aphelidium_sp.		0.7658290	Mixotroph
69af336a355de02462b7551a54d0df1c	Eukaryota	TSAR	Alveolata	Ciliophora	Oligohymenophorea	Hymenostomatia	Ophryoglenida	Ichthyophthirius	Ichthyophthirius_multifiliis		0.9923657	Mixotroph
ca7dbb9b83a5b67d2f63b1a3d0120d1b	Eukaryota	Obazoa	Opisthokonta	Fungi	Chytridiomycota	Spizellomycetales	Spizellomycetales_X	Spizellomycetales_XX	Spizellomycetales_XX_sp.		0.7118925	Mixotroph
400131a6b17fcd097ade77c48ecf332a	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyta_X	Chlorophyceae	Chlamydomonadales	Chlamydomonadales_X	Carteria	Carteria_radiosa		0.9993739	Phototroph
603b45f0686afc97b12f886cff8f3f8f	Eukaryota	Obazoa	Opisthokonta	Fungi	Chytridiomycota	Chytridiales	Chytridiomycetaceae	Rhizidium	Rhizidium_sp.		0.8553340	Mixotroph
f211f11488ff6662fc886e9563c30237	Eukaryota	TSAR	Stramenopiles	Gyrista	NA	NA	NA	NA	NA	NA	0.9961713	Phototroph
cb6e2dc369a46d11472efc1ecce290cd	Eukaryota	TSAR	Alveolata	Ciliophora	Spirotrichea	Hypotrichia	NA	NA	NA	NA	0.9875994	Mixotroph
e253faacd613dcffe1c2d2315956cd33	Eukaryota	TSAR	Alveolata	Ciliophora	Phyllopharyngea	Suctoria	PHYLL_2	PHYLL_2_X	PHYLL_2_X_sp.		1.0000000	Mixotroph
dc1e265d857fe3337b4b79dc7896203b	Eukaryota	Obazoa	Opisthokonta	Fungi	Rozellomycota	Rozellomycota_X	Rozellomycota_XX	Rozellomycota_XXX	Rozellomycota_XXX_sp.		0.9999853	Mixotroph
ba9bc4171f675fc8a36524c8faa7fb85	Eukaryota	TSAR	Rhizaria	Cercozoa	Cercozoa_X	Cercozoa_XX	Cercozoa_XXX	Cercozoa_XXXX	Cercozoa_XXXX_sp.		0.8256231	Mixotroph
bc8cdc6724879a30a8bfea5f161330cc	Eukaryota	TSAR	Stramenopiles	Gyrista	Eustigmatophyceae	Eustigmatophyceae_X	Eustigmatophyceae_XX	Trachydiscus	Trachydiscus_sp.		0.7154300	Phototroph
5669911868876fd3950d350965e0c59e	Eukaryota	TSAR	Alveolata	Dinoflagellata	Dinophyta_X	Dinophyta_XX	Dinophyta_XXX	Dinophyta_XXXX	Dinophyta_XXXX_sp.		0.7943347	Heterotroph
